player,span,matches_played,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
N Joshi (POA),2024-2024,6,5,2,38,30,12.66,33,115.15,-,-,1,3,2
CB Sole (BIK),2024-2024,7,6,1,35,14,7,27,129.62,-,-,1,2,3
K Thagunna (POA),2024-2024,3,2,-,33,32,16.5,30,110,-,-,-,3,1
Rashid Khan (KAG),2024-2024,7,7,1,29,14,4.83,53,54.71,-,-,1,1,1
Harmeet Singh (SPR),2024-2024,5,3,-,28,14,9.33,21,133.33,-,-,-,0,2
NB Budayair (SPR),2024-2024,9,4,2,28,9,14,22,127.27,-,-,-,2,1
Bipin Khatri (POA),2024-2024,7,5,1,24,10,6,26,92.3,-,-,1,0,2
S Malla (JAB),2024-2024,8,5,1,24,16,6,27,88.88,-,-,2,0,1
Aqib Ilyas (BIK),2024-2024,2,2,-,23,15,11.5,32,71.87,-,-,-,3,0
NB Sarki (CHR),2024-2024,1,1,1,22,22,-,12,183.33,-,-,-,1,1
R Dhakal (CHR),2024-2024,8,2,1,22,15,22,18,122.22,-,-,-,2,0
S Lamichhane (BIK),2024-2024,7,5,1,22,8,5.5,20,110,-,-,1,1,1
Pratis GC (BIK),2024-2024,6,5,2,20,7,6.66,17,117.64,-,-,-,1,1
Shahab Alam (KAG),2024-2024,7,6,2,20,8,5,28,71.42,-,-,-,1,1
A Tripathi (JAB),2024-2024,3,3,1,19,13,9.5,30,63.33,-,-,-,1,0
Deepak Bohara (CHR),2024-2024,6,4,1,19,8,6.33,25,76,-,-,-,1,1
Surya Tamang (LUL),2024-2024,4,2,1,18,11,18,19,94.73,-,-,-,2,0
UBT Chand (LUL),2024-2024,4,4,-,18,14,4.5,29,62.06,-,-,2,2,0
JN Loftie-Eaton (CHR),2024-2024,3,3,1,17,9,8.5,23,73.91,-,-,-,2,0
